phone_number,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn
3562992,0,1,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10,5,2.7,1,0
3732782,0,0,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13,2,3.51,1,0
3965800,0,0,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,0
3937984,0,0,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,1
3581958,0,0,0,183,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0,0
3502565,0,0,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,0
3434696,0,0,0,81.1,86,13.79,245.2,72,20.84,237,115,10.67,10.3,2,2.78,0,0
3313698,0,0,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,0
3573817,0,1,39,213,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,0
4186412,0,0,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,0
3532630,0,0,0,190,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,0
4107789,0,0,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3,1,0
4168428,0,0,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,0
3703359,0,0,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,0
3831121,0,0,0,212,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,0
3601596,0,0,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,1
3952854,0,1,25,176.8,94,30.06,195,75,16.58,213.5,116,9.61,8.3,4,2.24,0,0
3621407,0,1,37,220,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,0
3419764,0,1,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,0
3533305,0,0,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10,5,2.7,1,0
4021381,1,1,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,0
3329891,0,0,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3,1,0
3729976,0,0,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,0
3836029,1,1,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,1
3537289,0,0,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10,4,2.7,2,0
3907274,0,0,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,0
3521237,0,0,0,154,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,0
3533061,0,1,28,120.9,97,20.55,213,92,18.11,163.1,116,7.34,8.5,5,2.3,2,0
3635450,0,0,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,0
3641995,0,0,0,187,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2,2,0
3981294,0,0,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,1
4057146,0,1,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11,3,2.97,1,0
4134957,0,0,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,0
4205645,0,0,0,220.6,57,37.5,211.1,115,17.94,249,129,11.21,6.8,3,1.84,1,0
3494396,0,0,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,0
4043211,0,0,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,0
3533759,0,0,0,151,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,1
3635947,0,0,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,0
3405121,0,0,0,126.9,98,21.57,180,62,15.3,140.8,128,6.34,8,2,2.16,1,0
3707574,0,1,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,1
4039733,0,0,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,0
3557251,0,0,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12,8,3.24,1,0
3595893,0,0,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,0
4053371,0,1,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,0
3445117,0,1,33,193.7,91,32.93,246.1,96,20.92,138,92,6.21,14.6,3,3.94,2,0
3328160,0,1,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,0
3594081,0,0,0,131.2,98,22.3,162.9,97,13.85,159,106,7.15,8.2,6,2.21,2,0
3528305,0,1,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,0
3299847,1,0,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,0
3659011,1,0,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,0
3389472,0,0,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,0
3748042,0,0,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,1
3591231,0,0,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,0
4137170,0,1,46,224.9,97,38.23,188.2,84,16,254.6,61,11.46,12.1,2,3.27,0,0
4152935,0,0,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8,4,2.16,3,0
3994246,0,0,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,0
3625889,0,0,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12,3,3.24,0,0
3508921,0,0,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,0
3745353,0,0,0,300.3,109,51.05,181,100,15.39,270.1,73,12.15,11.7,4,3.16,0,1
3601171,0,0,0,61.6,117,10.47,77.1,85,6.55,173,99,7.79,8.2,7,2.21,4,1
3558887,0,0,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,0
3331967,0,0,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15,2,4.05,1,0
3544577,0,0,0,201.1,99,34.19,303.5,74,25.8,224,119,10.08,13.2,2,3.56,1,0
3317425,1,0,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,0
4192637,0,1,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11,2,2.97,3,0
4111530,0,1,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,0
3953026,0,0,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,1
3886441,0,1,29,179.3,104,30.48,225.9,86,19.2,323,78,14.54,8.6,7,2.32,0,0
4021251,0,0,0,157.9,105,26.84,155,101,13.18,189.6,84,8.53,8,5,2.16,4,1
4129997,0,0,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12,2,3.24,1,0
3467302,0,1,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,0
3589095,0,0,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,1
4009770,0,0,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3,1,0
3341275,0,0,0,203.4,100,34.58,190.9,104,16.23,196,119,8.82,8.9,4,2.4,0,1
3404953,0,0,0,124.3,100,21.13,173,107,14.71,253.2,62,11.39,7.9,9,2.13,1,0
4009510,0,0,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,0
3876103,0,0,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,0
3664467,0,0,0,278.4,106,47.33,81,113,6.89,163.2,137,7.34,9.8,5,2.65,1,0
3703450,0,0,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13,4,3.51,0,0
3273954,0,0,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,0
3556291,0,0,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,1
3629748,0,0,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,1
3796506,0,1,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,0
3477741,0,0,0,178.3,137,30.31,189,76,16.07,129.1,102,5.81,14.6,5,3.94,0,0
3543783,0,0,0,151.7,82,25.79,119,105,10.12,180,100,8.1,10.5,6,2.84,0,0
4017594,0,0,0,135,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,0
3974976,0,0,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,0
3342577,0,0,0,238.1,65,40.48,187.2,98,15.91,190,115,8.55,11.8,4,3.19,4,0
4003637,0,1,29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9,6,2.43,2,0
3834361,0,1,21,117.9,131,20.04,164.5,115,13.98,217,86,9.76,9.8,3,2.65,1,0
3714306,0,1,32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1,0
4034298,0,0,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,0
4093786,0,0,0,165,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1,0
3374697,0,0,0,185,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,0
3831509,0,0,0,161,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,0
3599794,0,0,0,126.7,108,21.54,206,90,17.51,247.8,114,11.15,13.3,7,3.59,1,0
4077035,0,0,0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,0
3631069,1,1,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20,6,5.4,0,1
3914652,0,0,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,0
3556837,0,0,0,282.5,114,48.03,219.9,48,18.69,170,115,7.65,9.4,4,2.54,1,1
4091244,0,1,36,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10,3,2.7,2,0
3283266,0,0,0,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35,2,0
3527072,0,0,0,210.2,92,35.73,227.3,77,19.32,200.1,116,9,13.1,7,3.54,1,0
3707550,0,1,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,0
3695526,0,0,0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,0
3294391,0,0,0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1,0
4084195,0,0,0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,2,0
3544445,0,0,0,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12,3,3.24,1,0
3354858,0,0,0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4,1
4148718,0,1,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4,1
4095939,0,0,0,91.7,90,15.59,193.7,123,16.46,175,86,7.88,9.2,4,2.48,2,0
3314902,0,1,36,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57,3,0
3536870,0,0,0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,3,0
3552909,0,0,0,166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65,1,0
3906101,0,0,0,231,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,1,0
4003446,0,0,0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4,0
4115859,0,0,0,197,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,0
3872919,1,0,0,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,3,0
3748525,0,1,21,175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43,5,0
3795592,0,0,0,203.1,106,34.53,210.1,113,17.86,195.6,129,8.8,12,3,3.24,3,0
3458237,0,1,36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,1,0
4226690,0,1,23,205,101,34.85,152,60,12.92,158.6,59,7.14,10.2,5,2.75,2,0
3462359,0,0,0,148.5,115,25.25,276.4,84,23.49,193.6,112,8.71,12.4,3,3.35,1,0
3743534,0,1,39,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,0,0
3814756,0,1,28,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84,3,0
3902805,0,0,0,246.5,47,41.91,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16,1,0
3902390,1,0,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2,1
4199097,0,0,0,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,14.3,6,3.86,3,0
3867281,0,0,0,146.7,91,24.94,203.5,78,17.3,203.4,110,9.15,13.7,3,3.7,1,0
3803561,1,0,0,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,11.7,4,3.16,1,0
3908760,0,0,0,181.5,121,30.86,218.4,98,18.56,161.6,103,7.27,8.5,5,2.3,1,0
3666730,0,1,43,257.7,97,43.81,162.1,95,13.78,286.9,86,12.91,11.1,4,3,2,0
3955285,0,0,0,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,1,0
3543436,0,0,0,102.8,119,17.48,206.7,91,17.57,299,105,13.46,10.1,7,2.73,1,0
3367600,0,0,0,187.9,116,31.94,157.6,117,13.4,227.3,86,10.23,7.5,6,2.03,1,0
3836293,0,0,0,226,112,38.42,248.5,118,21.12,140.5,142,6.32,6.9,11,1.86,1,0
3624596,0,0,0,260.4,115,44.27,146,46,12.41,269.5,87,12.13,11.5,4,3.11,5,0
4013926,0,0,0,178.7,116,30.38,292.1,138,24.83,265.9,101,11.97,9.8,4,2.65,0,0
3709116,0,0,0,337.4,120,57.36,227.4,116,19.33,153.9,114,6.93,15.8,7,4.27,0,1
3286289,0,1,23,157.6,129,26.79,247,96,21,259.2,112,11.66,13.7,2,3.7,0,0
3509994,0,0,0,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75,1,0
3514616,0,1,24,142.1,124,24.16,183.4,129,15.59,164.8,114,7.42,9.6,4,2.59,1,0
3605779,0,0,0,136.3,97,23.17,172.2,108,14.64,137.5,101,6.19,7.1,5,1.92,0,0
4174885,0,0,0,217.1,110,36.91,241.5,111,20.53,253.5,103,11.41,12,6,3.24,0,0
4064710,0,1,36,187.5,99,31.88,241.4,116,20.52,229.5,105,10.33,10.5,5,2.84,3,0
4098743,0,0,0,98.9,103,16.81,135.4,122,11.51,236.6,82,10.65,12.2,1,3.29,1,0
3354584,0,0,0,206.3,151,35.07,148.6,89,12.63,167.2,91,7.52,6.1,3,1.65,1,0
3619845,0,1,33,243.1,92,41.33,213.8,92,18.17,228.7,104,10.29,12.1,2,3.27,2,0
3665699,0,1,31,189.8,126,32.27,163.3,133,13.88,264.8,126,11.92,7.5,3,2.03,1,0
3299364,0,0,0,202,102,34.34,243.2,128,20.67,261.3,90,11.76,10.9,3,2.94,1,0
3907434,0,1,38,170.1,124,28.92,193.3,116,16.43,105.9,73,4.77,12.8,4,3.46,1,0
4049680,0,0,0,230.9,87,39.25,187.4,90,15.93,154,53,6.93,6.3,2,1.7,0,0
3389398,0,0,0,237.1,105,40.31,223.5,105,19,97.4,79,4.38,13.2,2,3.56,1,0
3942445,0,1,27,182.1,91,30.96,169.7,98,14.42,164.7,86,7.41,10.6,5,2.86,2,0
3812709,0,0,0,119.3,87,20.28,211.5,101,17.98,268.9,86,12.1,10.5,4,2.84,3,0
3975060,0,0,0,116.8,87,19.86,178.9,93,15.21,182.4,150,8.21,14.1,2,3.81,1,0
4152393,0,0,0,219.2,92,37.26,149.4,125,12.7,244.7,104,11.01,6.1,5,1.65,0,0
3771765,0,0,0,252.6,104,42.94,169,125,14.37,170.9,106,7.69,11.1,7,3,2,0
4092111,0,0,0,147.1,91,25.01,190.4,107,16.18,195.2,115,8.78,12.2,3,3.29,0,0
4013170,0,0,0,202.1,103,34.36,229.4,86,19.5,195.2,113,8.78,11.5,3,3.11,2,0
4055681,0,0,0,173.5,93,29.5,194.1,76,16.5,208,112,9.36,16.2,10,4.37,3,0
4114582,0,0,0,232.1,122,39.46,292.3,112,24.85,201.2,112,9.05,0,0,0,3,0
3555009,1,1,23,197.1,125,33.51,214.5,136,18.23,282.2,103,12.7,9.5,5,2.57,4,0
3723750,0,0,0,58.2,94,9.89,138.7,118,11.79,136.8,91,6.16,11.9,1,3.21,5,1
4052888,0,1,36,115.6,111,19.65,237.7,94,20.2,169.9,103,7.65,9.9,12,2.67,2,0
3613337,0,0,0,186.1,98,31.64,254.3,57,21.62,214,127,9.63,14.6,7,3.94,2,0
3501639,1,0,0,259.9,68,44.18,245,122,20.83,134.4,121,6.05,8.4,3,2.27,3,0
3333221,0,0,0,214.3,145,36.43,268.5,135,22.82,241.2,92,10.85,10.8,13,2.92,1,0
4221471,0,0,0,158.7,74,26.98,64.3,139,5.47,198.5,103,8.93,10.2,4,2.75,1,0
3997865,0,0,0,271.6,71,46.17,229.4,108,19.5,77.3,121,3.48,10.9,3,2.94,2,0
3734819,0,0,0,160.6,111,27.3,163.2,126,13.87,187.1,112,8.42,9,3,2.43,1,0
3386981,0,0,0,232.4,109,39.51,187.4,95,15.93,231.2,107,10.4,9.1,3,2.46,1,0
4184365,0,0,0,133.8,85,22.75,180.5,94,15.34,112.2,115,5.05,8.9,4,2.4,0,0
3595461,0,0,0,176.9,109,30.07,90.7,104,7.71,238,69,10.71,9.5,2,2.57,1,0
3753586,0,0,0,209.9,74,35.68,195.1,77,16.58,208.2,119,9.37,8.8,4,2.38,2,0
4078376,0,0,0,137.5,118,23.38,203.2,88,17.27,150,131,6.75,13.4,2,3.62,0,0
4086496,0,1,23,289.5,52,49.22,166.6,111,14.16,119.1,88,5.36,9.5,4,2.57,1,0
3857688,0,1,23,198.1,86,33.68,177,86,15.05,180.5,92,8.12,6.8,6,1.84,1,0
3326934,0,0,0,149.7,119,25.45,182.2,115,15.49,261.5,126,11.77,9.7,8,2.62,0,0
3783625,0,0,0,326.5,67,55.51,176.3,113,14.99,181.7,102,8.18,10.7,6,2.89,2,1
3537292,1,1,26,292.9,101,49.79,199.7,97,16.97,255.3,127,11.49,13.8,7,3.73,4,1
3996786,0,0,0,83,64,14.11,177,106,15.05,245.7,89,11.06,13,3,3.51,0,0
3583261,0,1,24,145.7,146,24.77,220.5,136,18.74,249.9,96,11.25,13.1,5,3.54,3,0
3779932,0,0,0,182.3,101,30.99,328.2,93,27.9,245,131,11.03,11.2,1,3.02,2,0
3974030,0,0,0,218,86,37.06,184,94,15.64,240.5,110,10.82,6.4,8,1.73,3,0
3671062,0,0,0,140.6,109,23.9,178.6,51,15.18,217,83,9.76,6.8,3,1.84,2,0
3418467,0,0,0,152.7,105,25.96,257.5,80,21.89,198.1,93,8.91,9.4,4,2.54,1,0
3399453,0,1,36,106.7,76,18.14,209.8,77,17.83,190.4,117,8.57,12.1,2,3.27,1,0
3443388,0,0,0,243.8,98,41.45,83.9,72,7.13,179.8,84,8.09,13.7,8,3.7,2,0
3758013,0,0,0,194.4,94,33.05,186.7,95,15.87,223.3,90,10.05,10.8,5,2.92,3,0
4084142,0,0,0,213.9,95,36.36,151.9,70,12.91,260.1,124,11.7,12.2,5,3.29,3,0
3863671,0,0,0,217.2,112,36.92,246.7,89,20.97,226.1,89,10.17,15.8,7,4.27,3,0
4112284,0,0,0,241.1,72,40.99,155.6,98,13.23,188.2,109,8.47,11.6,10,3.13,1,0
3467795,1,0,0,203.5,100,34.6,247.6,103,21.05,194.3,94,8.74,11.9,11,3.21,0,0
3335609,0,1,24,155.2,131,26.38,244.5,106,20.78,122.4,68,5.51,10.7,3,2.89,1,0
4051842,0,1,31,167.6,139,28.49,113,118,9.61,246.9,121,11.11,12.2,6,3.29,1,0
3666345,1,0,0,226.7,98,38.54,228.1,115,19.39,73.2,93,3.29,17.6,4,4.75,2,1
3379345,0,0,0,179.3,93,30.48,178.6,98,15.18,225.2,131,10.13,11.5,6,3.11,3,0
3286770,0,0,0,151.4,89,25.74,186.4,76,15.84,172.5,120,7.76,10.9,3,2.94,0,0
3807321,0,0,0,180,80,30.6,224.2,82,19.06,265.4,91,11.94,4.7,7,1.27,3,0
3751476,0,0,0,250.2,121,42.53,267.1,118,22.7,151,114,6.8,13,2,3.51,1,1
3561567,0,0,0,223,121,37.91,110.1,98,9.36,188.7,107,8.49,7.1,12,1.92,0,0
4226685,0,0,0,183.6,116,31.21,152.6,98,12.97,212.2,99,9.55,12.2,6,3.29,3,0
3361090,0,1,22,166,114,28.22,174.5,103,14.83,244.9,68,11.02,10.2,6,2.75,1,0
3432095,0,0,0,136.1,112,23.14,272.9,96,23.2,220.2,104,9.91,4.4,2,1.19,1,0
3453934,0,0,0,149.3,113,25.38,242.2,122,20.59,174.3,104,7.84,8.9,6,2.4,2,0
3388050,0,0,0,65.4,97,11.12,168.2,76,14.3,236,113,10.62,13.8,1,3.73,2,0
3889568,0,0,0,213.4,111,36.28,234.5,94,19.93,250.1,123,11.25,2.7,4,0.73,1,0
4026591,0,0,0,206.9,85,35.17,244.7,78,20.8,221.5,136,9.97,7.7,2,2.08,3,0
4036419,0,1,27,186.2,78,31.65,189.6,83,16.12,76.5,139,3.44,9.6,3,2.59,2,0
3869790,0,1,23,280.2,136,47.63,220.5,92,18.74,136.9,102,6.16,13.3,3,3.59,4,0
3785692,0,1,22,196.6,84,33.42,313.2,92,26.62,163.3,108,7.35,11.9,3,3.21,0,0
3603324,1,0,0,312,109,53.04,129.4,100,11,217.6,74,9.79,10.5,2,2.84,0,1
4103719,1,1,36,199,110,33.83,291.3,111,24.76,197.6,92,8.89,11,6,2.97,1,0
3524221,0,0,0,203.1,96,34.53,217,126,18.45,180.9,122,8.14,13.5,2,3.65,3,0
3276179,0,0,0,168.8,97,28.7,220.3,87,18.73,154.3,113,6.94,10.9,2,2.94,0,0
3596196,1,0,0,173.1,140,29.43,240.3,105,20.43,233.2,117,10.49,9,5,2.43,1,0
3749107,0,0,0,134.4,106,22.85,211.3,98,17.96,193.6,125,8.71,10.2,2,2.75,5,1
3574078,0,1,40,202.6,103,34.44,118.8,128,10.1,234.9,98,10.57,9,9,2.43,2,0
3665780,0,0,0,74.5,117,12.67,200.8,98,17.07,192.2,101,8.65,9.8,7,2.65,3,0
3939619,0,0,0,83.6,148,14.21,120.9,91,10.28,226.6,110,10.2,10.7,9,2.89,0,0
3559295,0,0,0,192.2,86,32.67,168.6,116,14.33,139.8,87,6.29,9.4,6,2.54,1,0
4005751,0,0,0,220.2,89,37.43,88.3,125,7.51,195.3,79,8.79,12.9,5,3.48,0,0
3381027,1,0,0,135.1,95,22.97,134.1,102,11.4,223.1,81,10.04,12.3,2,3.32,2,1
4058867,0,0,0,253.4,77,43.08,182.4,151,15.5,275.8,103,12.41,8.4,2,2.27,1,0
3365616,0,0,0,225,81,38.25,176.9,63,15.04,194.3,110,8.74,7.1,2,1.92,3,0
3351697,0,0,0,198.5,99,33.75,267.8,60,22.76,354.9,75,15.97,9.4,3,2.54,0,1
3315138,0,0,0,110.3,107,18.75,166.5,93,14.15,202.3,96,9.1,9.5,5,2.57,0,0
3858240,0,1,37,60,102,10.2,102.2,80,8.69,261.8,106,11.78,11.1,3,3,0,0
3481359,0,0,0,214.8,94,36.52,149.7,58,12.72,283.4,66,12.75,10.2,5,2.75,0,0
3547339,0,0,0,181.8,85,30.91,202.4,98,17.2,245.9,97,11.07,9.2,2,2.48,4,0
3491687,0,1,23,154,114,26.18,278,137,23.63,228.4,112,10.28,11.8,4,3.19,2,0
3802558,0,1,29,157.4,99,26.76,117.9,80,10.02,279.2,79,12.56,13.9,11,3.75,4,1
3652153,0,0,0,207.9,91,35.34,172,109,14.62,191.8,143,8.63,14.4,7,3.89,4,0
3456043,0,0,0,207,90,35.19,232.9,83,19.8,172.4,108,7.76,9.1,8,2.46,3,0
3492808,0,1,41,119,101,20.23,230,134,19.55,236.9,58,10.66,9.5,3,2.57,0,0
4111715,1,0,0,143.7,117,24.43,273,82,23.21,178.3,81,8.02,10.9,3,2.94,0,0
3852488,0,1,32,165.9,126,28.2,216.5,93,18.4,173.1,86,7.79,14.1,8,3.81,4,0
3777177,0,0,0,138.6,122,23.56,172.3,117,14.65,231.6,92,10.42,9.8,3,2.65,1,0
3421099,0,0,0,84.7,118,14.4,249.9,86,21.24,193.4,95,8.7,14.5,8,3.92,1,0
